seed,trial,divergence_random_mean,divergence_resampled,divergence_clone
0,0,0.9190756473946489,0.03978153009180074,0.1340144663560957
0,1,1.0018695907417992,0.14472188586877732,0.9649450053458409
0,2,1.0111919218324765,0.08631501364784344,0.8706788924051564
0,3,0.9669958757197205,0.3168612392126311,0.11883436584840401
0,4,0.9716199133663325,0.37122067787403457,0.42867972492898876
0,5,1.0497368117674981,1.5739921506840164,0.5628813736818772
0,6,1.0592558293707983,0.7072570263001244,0.4720416542920336
0,7,0.9956740707889482,0.1290853134172817,0.8234090160701132
0,8,1.0134846710828023,0.49752458000515476,0.9499209212473222
0,9,1.00026053638515,0.2832213430917515,0.08390971081493637
0,10,1.0464683110111914,0.06408707513277567,1.6178298757420748
0,11,1.061468129769929,0.3794299437531867,0.6913719052106728
0,12,0.9989871502610252,0.14320029086354502,0.4442249043520051
0,13,0.9932619823180481,0.11535252891636538,0.8683098760314767
0,14,0.9660167204188752,0.044014075667189845,0.21751139074329184
0,15,1.035999271999093,0.08976964893513795,0.8690474512079442
0,16,0.9052406808022287,0.23986661171313262,0.7411197809332011
0,17,0.9668271862422105,0.3896862896386323,0.17270824697646703
0,18,1.041502699706649,0.08296591598662573,0.763576452791755
0,19,0.9824623033420694,0.09455293781124341,0.40371897429048986
0,20,1.0426794988814174,0.022811738987591368,0.24831921267562607
0,21,0.930917326528701,0.02378763265145789,0.4706653666399425
0,22,0.9853032494152942,0.3629263358318464,1.5422190114383256
0,23,1.0579422750272898,0.10990936890298542,0.2002316737578793
0,24,1.0094919696875286,0.7717440038698281,0.2874423486910982
0,25,1.046417494233684,0.8016851547342575,0.6335058968596546
0,26,0.9877818181018028,0.38254950786550723,0.249722085380101
0,27,1.030311465756371,0.05776348754630045,0.3397721905986567
0,28,0.9736018200299994,1.3714124027091106,1.110839951424547
0,29,0.9983631796447361,0.25121090540217306,1.4049607500336232
0,30,1.0374921933852481,0.8189093335225566,0.1997294253122508
0,31,0.9565777827082756,1.5641451635403327,0.22354325859808566
0,32,1.0906734808550582,0.11685829840524065,0.6930293462947432
0,33,0.9621341252010706,0.4513936589855292,1.1212586707933245
0,34,0.901341091437518,0.26249462068164486,1.2184666297658717
0,35,0.9950594959260247,0.3708756637511418,0.8066454397485405
0,36,1.0097963065244222,0.2722400242311379,0.33035539143291015
0,37,0.931236176986925,0.011435775393106473,0.818947803490145
0,38,0.9788100261680397,0.640264892807004,1.210184536032869
0,39,0.9246410748097066,0.5863161790161675,0.2253270500022223
0,40,1.0637968119210628,0.9130950477379446,0.3965712435229043
0,41,1.1164639276450945,0.42631460352338746,1.3084946177846462
0,42,1.0576261248872372,0.11249708510665157,0.4358549731599918
0,43,0.9999604292742228,0.3981245743614573,0.5975043808509732
0,44,1.0293358495643297,0.19294554672838327,0.579599661121465
0,45,0.9864676855907595,0.28410539383946,0.2677206243637975
0,46,1.0601594608465479,0.5211222727113013,0.1881001151799392
0,47,1.0066135320377092,0.19641203124694262,0.6728690451609729
0,48,1.0495874517293,0.3223086418136686,0.5841573928430436
0,49,0.8650177614373551,0.2807041946820621,0.287003010540699
0,50,0.9999510598308201,1.0005600763130966,0.7550005675368039
0,51,0.9534665103185305,0.2184525786922792,1.0613629280303276
0,52,1.013218415849636,0.0403359415625818,0.22280814734696863
0,53,0.9743924551393621,0.39240688703045856,0.17367223530593057
0,54,0.9931663956557596,0.2157288934082605,0.8948342268329033
0,55,1.059372925445458,0.34577050949786936,0.33974637082104575
0,56,1.1046251250630064,0.03486419705630173,1.7145516687271343
0,57,0.9928164403718306,0.1405473783665656,0.23652577038310252
0,58,0.9501843898703061,0.16869540712222308,0.303991158618623
0,59,1.0826557758063817,0.09218196829529457,0.3578830164580594
0,60,0.9709039087550783,0.5201169582466609,0.06650362776214902
0,61,0.9410517224324783,0.06103366490274431,0.3424138630400587
0,62,0.96350509112807,0.38018977133254883,0.6526675610879418
0,63,1.100900514569271,0.16231035457831233,0.7479846150761704
0,64,0.9711481993015396,0.08998536148877079,0.33413731442312045
0,65,0.9325217107954442,0.9515966647759578,0.2774663116045356
0,66,0.9898407007102163,0.05032417232998032,0.21385556398542294
0,67,0.9511904861375581,1.1882261088009507,0.659895526346575
0,68,0.9623271137077706,0.06414838476931328,0.2722458164487188
0,69,1.0285354302491938,1.5117376364018433,0.9324495599601174
0,70,1.0037355633710074,0.05511338144964639,0.21086434851396718
0,71,0.9656298392750134,0.07176887978346325,0.2365898776207962
0,72,1.0782476265755407,0.33273703784921327,0.21957273279116374
0,73,1.012095252468003,0.009301637395890183,0.3128978999931268
0,74,0.9987341159861859,0.09208753048791962,0.49170625909360277
0,75,1.0095049884854144,0.1667602600390996,0.5890857048468887
0,76,1.033185120269705,0.608211693274865,0.25624949042393663
0,77,0.9914581875343642,1.071986972235942,0.34149639092841877
0,78,0.935625672178596,1.1686219721420554,0.6172537413050746
0,79,0.9380480846533572,0.06460815904533146,0.41196760291194046
0,80,1.0028072647738921,0.3937381165078535,1.274785908913005
0,81,1.0380133163724243,0.4890952357345735,1.507590138469289
0,82,0.9549002849838244,0.12936964683868624,0.10747103242667078
0,83,0.9382241986131394,0.18606692705414984,0.046280462545186585
0,84,1.1037106477655614,0.6412098596043855,0.4801148198164462
0,85,0.9552668737761362,0.12391947189573826,0.19210460280627129
0,86,1.0629502388789027,0.5191358410075986,0.7538802918936416
0,87,0.9814925112241393,0.2760403622462073,0.9977301935230802
0,88,1.0000044230250875,0.7403070734042364,0.704695038702092
0,89,1.03590515254647,0.04586654224619946,0.29672773520606277
0,90,0.9161562266044604,0.2955839731640756,0.7359818001702634
0,91,1.0178337727256195,1.3702488844625302,0.11737988715704695
0,92,1.0277439959944967,0.11589239033857279,0.4014857365787302
0,93,1.0069787301870985,0.9644679409252829,0.35888839629427993
0,94,1.013563183711136,0.8707273361498675,0.3524207159353593
0,95,1.0739906123895813,1.0305059289517482,1.311644808690734
0,96,0.9417418691217629,0.2048221326240114,1.3288736469309788
0,97,0.9621413819142091,0.34817856780237766,0.21480841145905383
0,98,0.9886342025105711,0.035352574228928124,0.9710879212754959
0,99,1.0077178550440726,0.745388057133275,0.3898142036376665
0,100,1.0176949372520276,0.4605017806468461,0.9365508297484246
0,101,1.0695625976822405,0.6803324972370783,0.31723342144633027
0,102,0.9372465641958967,0.9725985123144952,0.7366168651852067
0,103,0.969969511807681,0.046864337289632796,0.8352837717152863
0,104,1.0420594224450486,0.6182117296169374,0.22391889657520636
0,105,0.9581196121501853,0.5319114438182304,0.5226753670400371
0,106,0.9758539120845411,0.010662024571420958,0.5621500459853982
0,107,0.885408973981497,1.096411903046664,0.6547925574191275
0,108,1.1236551763094875,0.05373460147440123,0.2956603141324373
0,109,0.9918652987705588,0.47175895091863507,0.13712561699817105
0,110,0.9816584326757126,0.07569509394054852,0.16668370112383157
0,111,0.9608452541590115,0.30959803161190536,0.09681380376796245
0,112,1.0264914051363623,0.13248285980061414,0.2484536756020147
0,113,1.0285676464421614,1.5121833595248115,1.244182383952736
0,114,1.0003071741061358,0.07803758807247274,0.5251760859646224
0,115,1.0153620236081293,0.46669691426253956,0.797933045496199
0,116,1.1162307161290383,1.1245724570892572,0.6146286785793738
0,117,0.9376832091879059,0.8329596437937594,0.5980207986742748
0,118,1.0268673073417163,0.19947104794912918,0.18948934052689315
0,119,1.0438968394113304,0.1343662128496702,0.8780436432748316
0,120,0.9849917170025094,0.8245036302582655,0.12142252403874165
0,121,1.0147799098211703,0.15016181485058966,0.10575376049037666
0,122,0.94692088897782,0.5047222494592227,0.5548164868858425
0,123,1.1046322357183047,0.05409726705321183,0.23777415758383436
0,124,1.0609009417105066,0.5240907238049896,0.1555347188110252
0,125,0.972421575849055,1.0568558435297732,0.344648340758398
0,126,1.0079451353949915,0.05385880585373948,0.18878788178084505
0,127,0.9705149632004693,0.8584756613990381,0.052218159687995036
0,128,0.9772787375933852,0.2899653864043681,0.807968718628529
0,129,1.0475010575804071,0.22163338759031226,0.18043029595242788
0,130,0.9833191286116549,0.08603876339237038,0.14450752313135418
0,131,1.0247178068329537,0.27011923654188374,0.9190572637698783
0,132,1.0347061278745509,0.02352443001773119,0.27167052607441167
0,133,1.0481586186944398,1.0850478579897511,0.29157038099038235
0,134,0.9585081665185116,0.08506980309576428,0.07403520527504759
0,135,0.9346293455140313,0.7927186124305827,0.2192920830994356
0,136,1.0368424225832662,0.22444491903737063,0.6439059597336158
0,137,0.9226529088691351,0.22323831385529314,1.1447812655692466
0,138,0.9482839831285357,0.40058221980080055,0.6036599664751092
0,139,0.9990600408029257,0.18967586075795817,0.17520495686077264
0,140,1.0494248787871097,0.08124955394854316,0.15491785569869
0,141,0.9765340132495659,1.0506097148743851,0.39408408305670417
0,142,0.9648777225950308,0.28096035408963194,1.1092923362968654
0,143,0.9434854720361101,0.6707542109619788,0.47091305458648447
0,144,0.9723553919421355,1.5986801169163503,0.345792067190131
0,145,0.9552510479251596,0.7845374221182286,0.49061869204546926
0,146,0.979705471798032,0.38199501106115863,0.4503598890273798
0,147,1.103700441564169,0.01542317095761836,1.2140053273853053
