task,seed,epoch,acc_t1,acc_t3,gain_baseline,gain_a,gain_c1,gain_c2
static,6,50,0.32,0.31,-0.010000000000000009,0.0,0.024999999999999967,-0.030000000000000027
static,6,75,0.33,0.335,0.0050000000000000044,0.0,0.034999999999999976,-0.03500000000000003
static,6,100,0.36,0.35,-0.010000000000000009,0.0,0.030000000000000027,-0.05499999999999999
static,6,150,0.4,0.38,-0.020000000000000018,0.0,0.009999999999999953,-0.04500000000000004
static,6,200,0.41,0.4,-0.009999999999999953,0.0,-0.004999999999999949,-0.014999999999999958
static,6,300,0.485,0.455,-0.02999999999999997,0.0,0.04500000000000004,-0.010000000000000009
static,6,400,0.6,0.555,-0.04499999999999993,0.0,-0.03500000000000003,-0.010000000000000009
static,6,500,0.665,0.63,-0.03500000000000003,0.0,-0.040000000000000036,-0.015000000000000013
static,7,0,0.34,0.35,0.009999999999999953,0.0,0.009999999999999953,-0.05500000000000005
static,7,10,0.37,0.38,0.010000000000000009,0.0,0.010000000000000009,-0.034999999999999976
static,7,25,0.415,0.4,-0.014999999999999958,0.0,0.0050000000000000044,-0.06
static,7,50,0.46,0.425,-0.03500000000000003,0.0,-0.0050000000000000044,-0.05499999999999999
static,7,75,0.48,0.475,-0.0050000000000000044,0.0,0.015000000000000013,0.0
static,7,100,0.51,0.505,-0.0050000000000000044,0.0,0.020000000000000018,0.0
static,7,150,0.535,0.525,-0.010000000000000009,0.0,0.015000000000000013,-0.010000000000000009
static,7,200,0.585,0.55,-0.03499999999999992,0.0,0.0050000000000000044,-0.020000000000000018
static,7,300,0.675,0.645,-0.030000000000000027,0.0,-0.025000000000000022,-0.040000000000000036
static,7,400,0.705,0.735,0.030000000000000027,0.0,-0.04999999999999993,-0.03499999999999992
static,7,500,0.735,0.79,0.05500000000000005,0.0,-0.08999999999999997,-0.04999999999999993
static,8,0,0.195,0.185,-0.010000000000000009,0.0,0.009999999999999981,-0.010000000000000009
static,8,10,0.195,0.16,-0.035,0.0,-0.0050000000000000044,-0.024999999999999994
static,8,25,0.17,0.145,-0.025000000000000022,0.0,-0.020000000000000018,-0.0050000000000000044
static,8,50,0.17,0.17,0.0,0.0,0.0,-0.03
static,8,75,0.19,0.28,0.09000000000000002,0.0,0.04999999999999999,-0.04000000000000001
static,8,100,0.225,0.34,0.11500000000000002,0.0,0.05999999999999997,-0.065
static,8,150,0.29,0.385,0.09500000000000003,0.0,0.07500000000000001,-0.05999999999999997
static,8,200,0.385,0.425,0.03999999999999998,0.0,0.02999999999999997,-0.07
static,8,300,0.5,0.545,0.04500000000000004,0.0,0.040000000000000036,-0.07500000000000001
static,8,400,0.585,0.66,0.07500000000000007,0.0,0.06000000000000005,-0.029999999999999916
static,8,500,0.625,0.7,0.07499999999999996,0.0,0.07499999999999996,-0.010000000000000009
static,9,0,0.125,0.145,0.01999999999999999,0.0,-0.015,0.07999999999999999
static,9,10,0.2,0.155,-0.04500000000000001,0.0,-0.035,0.024999999999999994
static,9,25,0.25,0.225,-0.024999999999999994,0.0,-0.035,0.09000000000000002
static,9,50,0.32,0.33,0.010000000000000009,0.0,-0.04999999999999999,0.034999999999999976
static,9,75,0.39,0.45,0.06,0.0,-0.08000000000000002,0.0
static,9,100,0.42,0.5,0.08000000000000002,0.0,-0.03999999999999998,0.020000000000000018
static,9,150,0.55,0.595,0.04499999999999993,0.0,-0.040000000000000036,-0.030000000000000027
static,9,200,0.6,0.635,0.03500000000000003,0.0,-0.04499999999999993,-0.05999999999999994
static,9,300,0.67,0.695,0.02499999999999991,0.0,-0.08000000000000007,-0.10000000000000009
static,9,400,0.73,0.755,0.025000000000000022,0.0,-0.07499999999999996,-0.14
static,9,500,0.76,0.775,0.015000000000000013,0.0,-0.125,-0.14500000000000002
vn,0,0,0.255,0.25,-0.0050000000000000044,0.020000000000000018,0.0050000000000000044,0.08000000000000002
vn,0,10,0.27,0.285,0.014999999999999958,0.014999999999999958,0.0,0.08499999999999996
vn,0,25,0.29,0.325,0.03500000000000003,0.020000000000000018,-0.009999999999999953,0.08500000000000002
vn,0,50,0.345,0.375,0.030000000000000027,0.015000000000000013,-0.004999999999999949,0.040000000000000036
vn,0,75,0.365,0.415,0.04999999999999999,0.044999999999999984,0.06,0.010000000000000009
vn,0,100,0.415,0.445,0.030000000000000027,0.04500000000000004,0.015000000000000013,-0.0050000000000000044
vn,0,150,0.455,0.505,0.04999999999999999,0.06,-0.0050000000000000044,-0.05499999999999999
vn,0,200,0.52,0.555,0.03500000000000003,0.0,-0.04500000000000004,-0.07
vn,0,300,0.645,0.68,0.03500000000000003,-0.04500000000000004,-0.11499999999999999,-0.08999999999999997
vn,0,400,0.755,0.79,0.03500000000000003,-0.050000000000000044,-0.19999999999999996,-0.07999999999999996
vn,0,500,0.795,0.865,0.06999999999999995,-0.03500000000000003,-0.2300000000000001,-0.11499999999999999
vn,1,0,0.22,0.21,-0.010000000000000009,0.0050000000000000044,-0.010000000000000009,0.010000000000000009
vn,1,10,0.25,0.205,-0.04500000000000001,0.0,-0.035,-0.01999999999999999
vn,1,25,0.285,0.255,-0.02999999999999997,-0.019999999999999962,-0.03999999999999998,-0.019999999999999962
vn,1,50,0.36,0.345,-0.015000000000000013,0.010000000000000009,-0.034999999999999976,0.010000000000000009
vn,1,75,0.45,0.465,0.015000000000000013,0.0050000000000000044,-0.07,-0.0050000000000000044
vn,1,100,0.5,0.56,0.06000000000000005,0.0,-0.05499999999999999,-0.025000000000000022
vn,1,150,0.65,0.67,0.020000000000000018,-0.08999999999999997,-0.14500000000000002,-0.08000000000000007
vn,1,200,0.685,0.71,0.02499999999999991,-0.08000000000000007,-0.17000000000000004,-0.06500000000000006
vn,1,300,0.735,0.82,0.08499999999999996,-0.040000000000000036,-0.19999999999999996,-0.04999999999999993
vn,1,400,0.74,0.9,0.16000000000000003,-0.03500000000000003,-0.21999999999999997,-0.010000000000000009
vn,1,500,0.76,0.94,0.17999999999999994,-0.06500000000000006,-0.24,-0.015000000000000013
vn,2,0,0.2,0.18,-0.020000000000000018,-0.015000000000000013,-0.010000000000000009,0.07500000000000001
vn,2,10,0.22,0.195,-0.024999999999999994,-0.024999999999999994,-0.024999999999999994,0.060000000000000026
vn,2,25,0.235,0.195,-0.03999999999999998,-0.03,-0.044999999999999984,0.07500000000000001
vn,2,50,0.255,0.25,-0.0050000000000000044,-0.020000000000000018,-0.024999999999999994,0.10999999999999999
vn,2,75,0.29,0.295,0.0050000000000000044,0.020000000000000018,-0.05499999999999999,0.11500000000000005
vn,2,100,0.39,0.385,-0.0050000000000000044,0.0,-0.12,0.10499999999999998
vn,2,150,0.535,0.49,-0.04500000000000004,-0.09000000000000002,-0.15000000000000002,0.05999999999999994
vn,2,200,0.53,0.57,0.039999999999999925,-0.04500000000000004,-0.040000000000000036,0.125
vn,2,300,0.555,0.745,0.18999999999999995,-0.015000000000000013,-0.050000000000000044,0.16999999999999993
vn,2,400,0.625,0.845,0.21999999999999997,-0.040000000000000036,-0.06499999999999995,0.17500000000000004
vn,2,500,0.66,0.895,0.235,-0.030000000000000027,-0.07000000000000006,0.16499999999999992
vn,3,0,0.28,0.18,-0.10000000000000003,-0.020000000000000018,-0.03500000000000003,-0.11000000000000001
vn,3,10,0.3,0.225,-0.07499999999999998,-0.044999999999999984,-0.024999999999999967,-0.09999999999999998
vn,3,25,0.34,0.305,-0.03500000000000003,-0.050000000000000044,-0.07,-0.12000000000000002
vn,3,50,0.35,0.34,-0.009999999999999953,-0.03999999999999998,-0.065,-0.09999999999999998
vn,3,75,0.37,0.36,-0.010000000000000009,-0.03999999999999998,-0.05499999999999999,-0.10999999999999999
vn,3,100,0.385,0.395,0.010000000000000009,-0.015000000000000013,-0.044999999999999984,-0.10499999999999998
vn,3,150,0.47,0.48,0.010000000000000009,-0.02999999999999997,-0.11499999999999999,-0.125
vn,3,200,0.545,0.545,0.0,-0.030000000000000027,-0.13000000000000006,-0.15500000000000003
vn,3,300,0.62,0.65,0.030000000000000027,-0.025000000000000022,-0.10999999999999999,-0.15000000000000002
vn,3,400,0.645,0.72,0.07499999999999996,-0.0050000000000000044,-0.10499999999999998,-0.125
vn,3,500,0.665,0.755,0.08999999999999997,-0.010000000000000009,-0.07000000000000006,-0.10999999999999999
vn,4,0,0.1,0.125,0.024999999999999994,-0.020000000000000004,0.0049999999999999906,-0.010000000000000009
vn,4,10,0.1,0.14,0.04000000000000001,0.0049999999999999906,0.01999999999999999,-0.0050000000000000044
vn,4,25,0.12,0.175,0.05499999999999999,0.015000000000000013,0.04000000000000001,0.024999999999999994
vn,4,50,0.145,0.24,0.095,0.05000000000000002,0.06,0.05000000000000002
vn,4,75,0.2,0.345,0.14499999999999996,0.05499999999999999,0.034999999999999976,0.044999999999999984
vn,4,100,0.265,0.43,0.16499999999999998,0.06,0.019999999999999962,-0.0050000000000000044
vn,4,150,0.435,0.525,0.09000000000000002,0.030000000000000027,-0.05499999999999999,-0.09999999999999998
vn,4,200,0.52,0.585,0.06499999999999995,0.010000000000000009,-0.065,-0.11000000000000004
vn,4,300,0.675,0.69,0.014999999999999902,-0.010000000000000009,-0.12,-0.1050000000000001
vn,4,400,0.69,0.76,0.07000000000000006,0.05500000000000005,-0.05499999999999994,-0.06999999999999995
vn,4,500,0.715,0.885,0.17000000000000004,0.04500000000000004,-0.039999999999999925,-0.020000000000000018
vn,5,0,0.24,0.18,-0.06,0.025000000000000022,0.010000000000000009,0.044999999999999984
vn,5,10,0.29,0.24,-0.04999999999999999,0.03500000000000003,-0.024999999999999967,0.020000000000000018
vn,5,25,0.36,0.28,-0.07999999999999996,0.030000000000000027,-0.010000000000000009,-0.0050000000000000044
vn,5,50,0.44,0.35,-0.09000000000000002,0.0050000000000000044,-0.04999999999999999,-0.020000000000000018
vn,5,75,0.465,0.435,-0.030000000000000027,0.014999999999999958,-0.04500000000000004,0.014999999999999958
vn,5,100,0.485,0.45,-0.034999999999999976,0.0,-0.05499999999999999,0.05500000000000005
vn,5,150,0.46,0.5,0.03999999999999998,0.024999999999999967,0.019999999999999962,0.11499999999999994
vn,5,200,0.485,0.545,0.06000000000000005,0.015000000000000013,0.0050000000000000044,0.10999999999999999
vn,5,300,0.51,0.615,0.10499999999999998,0.06999999999999995,0.05499999999999994,0.135
vn,5,400,0.59,0.765,0.17500000000000004,0.13,0.050000000000000044,0.125
vn,5,500,0.665,0.85,0.18499999999999994,0.09499999999999997,-0.030000000000000027,0.16999999999999993
vn,6,0,0.24,0.205,-0.035,0.0050000000000000044,0.0,-0.024999999999999994
vn,6,10,0.235,0.23,-0.004999999999999977,0.040000000000000036,0.015000000000000013,-0.004999999999999977
vn,6,25,0.26,0.245,-0.015000000000000013,-0.0050000000000000044,-0.010000000000000009,-0.015000000000000013
vn,6,50,0.31,0.315,0.0050000000000000044,-0.015000000000000013,-0.015000000000000013,-0.015000000000000013
vn,6,75,0.32,0.34,0.020000000000000018,0.0050000000000000044,0.010000000000000009,-0.015000000000000013
vn,6,100,0.35,0.37,0.020000000000000018,-0.0050000000000000044,0.0050000000000000044,-0.044999999999999984
vn,6,150,0.355,0.385,0.030000000000000027,0.030000000000000027,0.030000000000000027,-0.034999999999999976
vn,6,200,0.385,0.455,0.07,0.03999999999999998,0.015000000000000013,-0.065
vn,6,300,0.455,0.52,0.065,0.05499999999999999,-0.0050000000000000044,-0.09000000000000002
vn,6,400,0.5,0.58,0.07999999999999996,0.06499999999999995,-0.015000000000000013,-0.09999999999999998
vn,6,500,0.56,0.7,0.1399999999999999,0.04999999999999993,-0.05500000000000005,-0.09500000000000003
vn,7,0,0.31,0.285,-0.025000000000000022,-0.020000000000000018,-0.020000000000000018,-0.05499999999999999
vn,7,10,0.34,0.31,-0.030000000000000027,-0.025000000000000022,0.014999999999999958,-0.05500000000000005
vn,7,25,0.395,0.37,-0.025000000000000022,-0.05499999999999999,-0.0050000000000000044,-0.07500000000000001
vn,7,50,0.445,0.4,-0.044999999999999984,-0.05499999999999999,-0.020000000000000018,-0.044999999999999984
vn,7,75,0.48,0.43,-0.04999999999999999,-0.05499999999999999,-0.02999999999999997,-0.02999999999999997
vn,7,100,0.48,0.44,-0.03999999999999998,-0.05499999999999999,-0.024999999999999967,-0.0050000000000000044
vn,7,150,0.495,0.49,-0.0050000000000000044,-0.03999999999999998,-0.034999999999999976,0.010000000000000009
vn,7,200,0.5,0.565,0.06499999999999995,0.010000000000000009,0.0,0.03500000000000003
vn,7,300,0.605,0.675,0.07000000000000006,0.020000000000000018,-0.06999999999999995,-0.020000000000000018
vn,7,400,0.685,0.79,0.10499999999999998,0.02499999999999991,-0.10000000000000009,-0.08000000000000007
vn,7,500,0.725,0.85,0.125,0.0050000000000000044,-0.15000000000000002,-0.08999999999999997
vn,8,0,0.155,0.135,-0.01999999999999999,-0.01999999999999999,-0.010000000000000009,-0.014999999999999986
vn,8,10,0.16,0.11,-0.05,-0.03,-0.01999999999999999,-0.024999999999999994
vn,8,25,0.16,0.11,-0.05,-0.045,-0.04000000000000001,-0.035
vn,8,50,0.175,0.15,-0.024999999999999994,-0.044999999999999984,-0.044999999999999984,-0.059999999999999984
vn,8,75,0.16,0.195,0.035,-0.0050000000000000044,-0.01999999999999999,-0.04000000000000001
vn,8,100,0.17,0.21,0.03999999999999998,0.009999999999999981,0.014999999999999986,-0.035
vn,8,150,0.265,0.28,0.015000000000000013,-0.010000000000000009,0.019999999999999962,-0.065
vn,8,200,0.355,0.4,0.04500000000000004,0.0,0.025000000000000022,-0.07999999999999996
vn,8,300,0.55,0.55,0.0,-0.07500000000000007,0.0,-0.08500000000000002
vn,8,400,0.55,0.65,0.09999999999999998,-0.0050000000000000044,0.09999999999999998,-0.040000000000000036
vn,8,500,0.605,0.74,0.135,-0.0050000000000000044,0.08499999999999996,-0.05499999999999994
vn,9,0,0.175,0.22,0.04500000000000001,0.010000000000000009,-0.004999999999999977,0.2
vn,9,10,0.245,0.225,-0.01999999999999999,0.020000000000000018,-0.014999999999999986,0.135
vn,9,25,0.3,0.345,0.044999999999999984,0.025000000000000022,-0.0050000000000000044,0.16000000000000003
vn,9,50,0.34,0.43,0.08999999999999997,0.034999999999999976,0.004999999999999949,0.125
vn,9,75,0.35,0.48,0.13,0.065,0.04500000000000004,0.12
vn,9,100,0.385,0.515,0.13,0.07500000000000001,0.02999999999999997,0.09499999999999997
vn,9,150,0.455,0.6,0.14499999999999996,0.07,0.010000000000000009,0.09000000000000002
vn,9,200,0.56,0.65,0.08999999999999997,0.019999999999999907,-0.015000000000000013,0.09999999999999998
vn,9,300,0.66,0.775,0.11499999999999999,0.03499999999999992,-0.040000000000000036,0.06999999999999995
vn,9,400,0.685,0.845,0.15999999999999992,0.05499999999999994,-0.0050000000000000044,0.009999999999999898
vn,9,500,0.705,0.88,0.17500000000000004,0.030000000000000027,-0.04499999999999993,-0.010000000000000009
