seed_model,group,seed_ablation,noise_level,acc_t1,acc_t2,acc_t3,gain,ece,r_norm,delta_norm
2,C1,avg30,0.7,0.535000,0.000000,0.479000,-0.056000,0.000000,0.000000,0.000000
2,C2,0,0.7,0.535000,0.645000,0.660000,0.125000,0.111014,2.154169,4.561427
2,Baseline,0,1.0,0.425000,0.590000,0.580000,0.155000,0.143189,3.307528,6.286367
2,A,0,1.0,0.425000,0.470000,0.405000,-0.020000,0.240403,0.000000,5.996617
2,C1,avg30,1.0,0.425000,0.000000,0.408000,-0.017000,0.000000,0.000000,0.000000
2,C2,0,1.0,0.425000,0.520000,0.470000,0.045000,0.216963,2.429698,6.294186
3,Baseline,0,0.1,0.855000,0.855000,0.855000,0.000000,0.157707,3.118159,2.172246
3,A,0,0.1,0.855000,0.855000,0.855000,0.000000,0.262260,0.000000,0.617335
3,C1,avg30,0.1,0.855000,0.000000,0.761167,-0.093833,0.000000,0.000000,0.000000
3,C2,0,0.1,0.855000,0.805000,0.690000,-0.165000,0.177317,2.337698,1.211160
3,Baseline,0,0.2,0.850000,0.875000,0.855000,0.005000,0.162793,3.170960,2.369348
3,A,0,0.2,0.850000,0.850000,0.845000,-0.005000,0.207496,0.000000,1.222413
3,C1,avg30,0.2,0.850000,0.000000,0.735500,-0.114500,0.000000,0.000000,0.000000
3,C2,0,0.2,0.850000,0.770000,0.680000,-0.170000,0.100725,2.293797,1.668745
3,Baseline,0,0.3,0.790000,0.830000,0.845000,0.055000,0.099168,3.241227,2.687962
3,A,0,0.3,0.790000,0.805000,0.800000,0.010000,0.181711,0.000000,1.807280
3,C1,avg30,0.3,0.790000,0.000000,0.700167,-0.089833,0.000000,0.000000,0.000000
3,C2,0,0.3,0.790000,0.700000,0.655000,-0.135000,0.089634,2.250742,2.163724
3,Baseline,0,0.5,0.665000,0.705000,0.755000,0.090000,0.049111,3.403429,3.428632
3,A,0,0.5,0.665000,0.655000,0.655000,-0.010000,0.079658,0.000000,2.907485
3,C1,avg30,0.5,0.665000,0.000000,0.589833,-0.075167,0.000000,0.000000,0.000000
3,C2,0,0.5,0.665000,0.645000,0.555000,-0.110000,0.066240,2.250959,3.186881
3,Baseline,0,0.7,0.575000,0.580000,0.630000,0.055000,0.093312,3.555812,4.233758
3,A,0,0.7,0.575000,0.515000,0.540000,-0.035000,0.095949,0.000000,3.918430
3,C1,avg30,0.7,0.575000,0.000000,0.485000,-0.090000,0.000000,0.000000,0.000000
3,C2,0,0.7,0.575000,0.530000,0.480000,-0.095000,0.156811,2.354947,4.215212
3,Baseline,0,1.0,0.470000,0.465000,0.420000,-0.050000,0.302933,3.767003,5.532661
3,A,0,1.0,0.470000,0.400000,0.375000,-0.095000,0.271998,0.000000,5.352639
3,C1,avg30,1.0,0.470000,0.000000,0.378500,-0.091500,0.000000,0.000000,0.000000
3,C2,0,1.0,0.470000,0.395000,0.390000,-0.080000,0.281289,2.578338,5.662412
4,Baseline,0,0.1,1.000000,1.000000,1.000000,0.000000,0.168160,2.168115,1.271247
4,A,0,0.1,1.000000,0.995000,1.000000,0.000000,0.342565,0.000000,0.533916
4,C1,avg30,0.1,1.000000,0.000000,0.884833,-0.115167,0.000000,0.000000,0.000000
4,C2,0,0.1,1.000000,0.920000,0.880000,-0.120000,0.317618,1.232121,0.828006
4,Baseline,0,0.2,0.980000,0.995000,1.000000,0.020000,0.181555,2.213234,1.636557
4,A,0,0.2,0.980000,0.970000,0.960000,-0.020000,0.314789,0.000000,1.064182
4,C1,avg30,0.2,0.980000,0.000000,0.854167,-0.125833,0.000000,0.000000,0.000000
4,C2,0,0.2,0.980000,0.885000,0.835000,-0.145000,0.256550,1.256685,1.258977
4,Baseline,0,0.3,0.905000,0.985000,0.980000,0.075000,0.189276,2.270998,2.053133
4,A,0,0.3,0.905000,0.920000,0.905000,0.000000,0.280086,0.000000,1.593949
4,C1,avg30,0.3,0.905000,0.000000,0.812833,-0.092167,0.000000,0.000000,0.000000
